SampleID	Groups
S1-MALL-010	No
S2-MALL-010	No
S3-MALL-010	No
S4-MALL-010	No
S5-MALL-010	No
S6-MALL-010	No
S2-MALL-011	Y
S1-MALL-012	Y
S3-MALL-012	Y
S2-MALL-013	Y
S3-MALL-013	Y
S4-MALL-013	Y
S5-MALL-013	Y
S6-MALL-013	Y
S1-MALL-014	No
S3-MALL-014	No
S1-MALL-015	Y
S4-MALL-015	Y
S1-MALL-016	No
S2-MALL-016	No
S3-MALL-016	No
S4-MALL-016	No
S5-MALL-016	No
S6-MALL-016	No
S7-MALL-016	No
S1-MALL-017	No
S2-MALL-017	No
S1-MALL-004	Y
S1-MALL-005	No
S1-MALL-006	Y
S1-MALL-007	Y
S2-MALL-008	Y
S3-MALL-008	Y
S1-MALL-008	Y
S1-MALL-018	No
S2-MALL-018	No
